…分之…,fen1 zhi1
一,yi1
一会儿,yi2 hui4 r5
一共,yi2 gong4
一切,yi2 qie4
一定,yi2 ding4
一旦,yi2 dan4
一样,yi2 yang4
一直,yi4 zhi2
一致,yi2 zhi4
一般,yi4 ban1
一起,yi4 qi3
一路平安,yi2 lu4 ping2 an1
一辈子,yi2 bei4 zi5
一边,yi4 bian1
丁,ding1
七,qi1
万,wan4
万一,wan4 yi1
丈夫,zhang4 fu5
三,san1
上,shang4
上午,shang4 wu3
上当,shang4 dang4
上班,shang4 ban1
上网,shang4 wang3
下,xia4
下午,xia4 wu3
下载,xia4 zai3
下雨,xia4 yu3
不,bu4
不仅,bu4 jin3
不但,bu2 dan4
不免,bu4 mian3
不好意思,bu4 hao3 yi4 si5
不如,bu4 ru2
不安,bu4 an1
不客气,bu2 ke4 qi5
不得不,bu4 de2 bu4
不得了,bu4 de2 liao3
不必,bu2 bi4
不断,bu2 duan4
不然,bu4 ran2
不管,bu4 guan3
不耐烦,bu2 nai4 fan2
不要紧,bu2 yao4 jin3
不见得,bu2 jian4 de5
不足,bu4 zu2
不过,bu2 guo4
与,yu3
与其,yu3 qi2
丑,chou3
专业,zhuan1 ye4
专家,zhuan1 jia1
专心,zhuan1 xin1
专门,zhuan1 men2
世界,shi4 jie4
世纪,shi4 ji4
丙,bing3
业余,ye4 yu2
业务,ye4 wu4
东,dong1
东西,dong1 xi5
丝毫,si1 hao2
丝绸,si1 chou2
丢,diu1
两,liang3
严格,yan2 ge2
严肃,yan2 su4
严重,yan2 zhong4
个,ge4
个人,ge4 ren2
个别,ge4 bie2
个子,ge4 zi5
个性,ge4 xing4
中介,zhong1 jie4
中午,zhong1 wu3
中国,Zhong1 guo2
中心,zhong1 xin1
中文,Zhong1 wen2
中旬,zhong1 xun2
中间,zhong1 jian1
丰富,feng1 fu4
临时,lin2 shi2
为,wei4
为了,wei4 le5
为什么,wei4 shen2 me5
主人,zhu3 ren2
主动,zhu3 dong4
主席,zhu3 xi2
主张,zhu3 zhang1
主意,zhu3 yi5
主持,zhu3 chi2
主要,zhu3 yao4
主观,zhu3 guan1
举,ju3
举办,ju3 ban4
举行,ju3 xing2
久,jiu3
义务,yi4 wu4
之,zhi1
乐观,le4 guan1
乒乓球,ping1 pang1 qiu2
乖,guai1
乘,cheng2
乘坐,cheng2 zuo4
乙,yi3
九,jiu3
也,ye3
也许,ye3 xu3
