一,yi1
七,qi1
三,san1
上,shang4
上午,shang4 wu3
下,xia4
下午,xia4 wu3
下雨,xia4 yu3
不,bu4
不客气,bu4 ke4 qi5
东西,dong1 xi5
个,ge4
中午,zhong1 wu3
中国,Zhong1 guo2
九,jiu3
书,shu1
买,mai3
了,le5
二,er4
五,wu3
些,xie1
人,ren2
什么,shen2 me5
今天,jin1 tian1
他,ta1
会,hui4
住,zhu4
你,ni3
做,zuo4
儿子,er2 zi5
先生,xian1 sheng5
八,ba1
六,liu4
再见,zai4 jian4
写,xie3
冷,leng3
几,ji3
出租车,chu1 zu1 che1
分钟,fen1 zhong1
前面,qian2 mian4
北京,Bei3 jing1
医生,yi1 sheng1
医院,yi1 yuan4
十,shi2
去,qu4
叫,jiao4
吃,chi1
同学,tong2 xue2
名字,ming2 zi5
后面,hou4 mian5
吗,ma5
听,ting1
呢,ne5
和,he2
哪,na3
哪儿,na3 r5
商店,shang1 dian4
喂,wei4
喜欢,xi3 huan5
喝,he1
四,si4
回,hui2
在,zai4
坐,zuo4
块,kuai4
多,duo1
多少,duo1 shao3
大,da4
天气,tian1 qi4
太,tai4
女儿,nv3 er2
她,ta1
好,hao3
妈妈,ma1 ma5
字,zi4
学习,xue2 xi2
学校,xue2 xiao4
学生,xue2 sheng5
家,jia1
对不起,dui4 bu5 qi3
小,xiao3
小姐,xiao3 jie5
少,shao3
岁,sui4
工作,gong1 zuo4
年,nian2
开,kai1
很,hen3
怎么,zen3 me5
怎么样,zen3 me5 yang4
想,xiang3
我,wo3
我们,wo3 men5
打电话,da3 dian4 hua4
日,ri4
时候,shi2 hou5
明天,ming2 tian1
星期,xing1 qi1
昨天,zuo2 tian1
是,shi4
月,yue4
有,you3
朋友,peng2 you5
本,ben3
来,lai2
杯子,bei1 zi5
桌子,zhuo1 zi5
椅子,yi3 zi5
水,shui3
水果,shui3 guo3
汉语,Han4 yu3
没,mei2
没关系,mei2 guan1 xi5
漂亮,piao4 liang5
火车站,huo3 che1 zhan4
点,dian3
热,re4
爱,ai4
爸爸,ba4 ba5
狗,gou3
猫,mao1
现在,xian4 zai4
电影,dian4 ying3
电脑,dian4 nao3
电视,dian4 shi4
的,de5
看,kan1
看见,kan4 jian4
睡觉,shui4 jiao4
米饭,mi3 fan4
老师,lao3 shi1
能,neng2
苹果,ping2 guo3
茶,cha2
菜,cai4
衣服,yi1 fu5
认识,ren4 shi5
说话,shuo1 hua4
请,qing3
读,du2
谁,shei2
谢谢,xie4 xie5
这,zhe4
这儿,zhe4 r5
那,na4
那儿,na4 r5
都,dou1
里,li3
钱,qian2
零,ling2
飞机,fei1 ji1
饭馆,fan4 guan3
高兴,gao1 xing4
