,
,
,
,
,
,
,
,
,
,
Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government"
Chang2 cheng2,the Great Wall
Chang2 jiang1,Changjiang river; Yangtze river
Chong2 yang2 jie2,Double Ninth or Yang Festival; 9th day of 9th lunar month
Guo2 Wu4 Yuan4,State Council (PRC); State Department (USA)
Guo2 qing4 jie2,PRC National Day (October 1st)
Han4 yu3,Chinese language; CL:門|门[men2]
Jing1 ju4,"Beijing opera; CL:場|场[chang3],出[chu1]"
Ou1 zhou1,Europe; European
Xing1 long2,"Xinglong county in Chengde 承德[Cheng2 de2], Hebei"
Ya4 zhou1,Asia; Asian
Yuan2 xiao1 jie2,"Lantern festival, the final event of the Spring festival 春節|春节, on 15th of first month of the lunar calendar"
Zhen4 xing1,"Zhengxing district of Dandong city 丹東市|丹东市[Dan1 dong1 shi4], Liaoning"
Zhong1 guo2,China; Middle Kingdom
Zhong1 wen2,Chinese; Chinese written language; Chinese writing
a1 yi2,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[ge4]
a5,"modal particle ending sentence, showing affirmation, approval, or consent"
ai1 yo1,hey; ow; ouch; interjection of pain or surprise
ai1,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh"
ai2 zheng4,cancer
ai2,to suffer from; to endure; to tide over (a difficult period); to delay
ai3,low; short (in length)
ai4 bu4 shi4 shou3,to love sth too much to part with it (idiom); to fondle admiringly
ai4 dai4,to love and respect; love and respect
ai4 hao4,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4]
ai4 hu4,to cherish; to treasure; to take care of; to love and protect
ai4 mei4,vague; ambiguous; equivocal; dubious
ai4 qing2,romance; love (romantic); CL:個|个[ge4]
ai4 xi1,to cherish; to treasure; to use sparingly
ai4 xin1,compassion; CL:片[pian4]
ai4,to love; affection; to be fond of; to like
an1 jing4,quiet; peaceful; calm
an1 ju1 le4 ye4,live in peace and work happily (idiom)
an1 ning2,peaceful; tranquil; calm; composed
an1 pai2,to arrange; to plan; to set up
an1 quan2,safe; secure; safety; security
an1 wei4,to comfort; to console; CL:個|个[ge4]
an1 xiang2,serene
an1 zhi4,find a place for; help settle down; arrange for; to get into bed; placement
an1 zhuang1,install; erect; fix; mount; installation
an4 jian4,"law case; legal case; judicial case; CL:宗[zong1],樁|桩[zhuang1],起[qi3]"
an4 li4,case (law); CL:個|个[ge4]
an4 mo2,massage
an4 shi2,on time; before deadline; on schedule
an4 shi4,to hint; to suggest; suggestion; a hint
an4 zhao4,according to; in accordance with; in the light of; on the basis of
an4,bank; shore; beach; coast; CL:個|个[ge4]
an4,dark; gloomy; hidden; secret; muddled; obscure; in the dark
ang2 gui4,expensive; costly
ao1 tu1,bumpy; uneven; slotted and tabbed joint; crenelation
ao2,(of cooking) to boil for a long time; to endure; to suffer
ao4 mi4,profound; deep; a mystery
ba1 bu4 de2,to be eager for; to long for; to look forward to
ba1 jie5,to fawn on; to curry favor with; to make up to
ba1,eight; 8
ba1,scar
ba1,to hold on to; to cling to; to dig up; to rake; to push aside; to climb; to pull out; to strip off
