ba2 miao2 zhu4 zhang3,to spoil things through excessive enthusiasm (idiom)
ba3 guan1,to guard a pass; to check on sth
ba3 shou3,handle; grip; knob
ba3 wo4,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)
ba3 xi4,acrobatics; jugglery; cheap trick; game
ba3,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle
ba4 ba5,"(informal) father; CL:個|个[ge4],位[wei4]"
ba4 dao4,"the Way of the Hegemon, abbr. of 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道; overbearing; tyranny; (of liquor, medicine etc) strong; potent"
ba4 gong1,a strike; to go on strike
ba5,(modal particle indicating polite suggestion); ...right?; ...OK?
bai1,to break with both hands
bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai
bai3 fen1 dian3,percentage point
bai3 tuo1,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself
bai3,hundred; numerous; all kinds of; surname Bai
bai3,to arrange; to exhibit; to move to and fro; a pendulum
bai4 fang3,pay a visit; call on
bai4 huai4,to ruin; to corrupt; to undermine
bai4 nian2,pay a New Year call; wish sb a Happy New Year
bai4 tuo1,request sb to do sth; please!
ban1 bu4,"to issue; to proclaim; to enact (laws, decrees etc)"
ban1 fa1,issue; promulgate; award
ban1 wen2,stripe; streak
ban1 zhu3 ren4,a teacher in charge of a class
ban1,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[ge4]
ban1,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically
ban3 ben3,version; edition; release
ban4 fa3,"means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]"
ban4 gong1 shi4,an office; business premises; a bureau; CL:間|间[jian1]
ban4 li3,to handle; to transact; to conduct
ban4 lv3,companion; mate; partner
ban4 sui2,to accompany; to follow; to occur together with; attendant
ban4 tu2 er2 fei4,to give up halfway (idiom); leave sth unfinished
ban4 yan3,play the part of; act
ban4,half; semi-; incomplete; (after a number) and a half
bang1 mang2,to help; to lend a hand; to do a favor; to do a good turn
bang1 zhu4,assistance; aid; to help; to assist
bang3 jia4,to kidnap; to abduct; to hijack; a kidnapping; abduction; staking
bang3 yang4,example; model; CL:個|个[ge4]
bang4 wan3,in the evening; when night falls; towards evening; at night fall; at dusk
bang4,"see 磅秤 scale; platform balance; pound (unit of weight, about 454 grams)"
bang4,a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race
bao1 bi4,shield; harbor; cover up
bao1 fu5,cloth-wrapper; a bundle wrapped in cloth; load; weight; burden
bao1 guo3,wrap up; bind up; bundle; parcel; package; CL:個|个[ge4]
bao1 han2,to contain; to embody; to include
bao1 kuo4,to comprise; to include; to involve; to incorporate; to consist of
bao1 wei2,to surround; to encircle; to hem in
bao1 zhuang1,pack; package
bao1 zi5,steamed stuffed bun; CL:個|个[ge4]
bao1,"to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[ge4],隻|只[zhi1]"
bao2,thin; cold in manner; indifferent; weak; light; infertile
bao3 bei4,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character
bao3 chi2,to keep; to maintain; to hold; to preserve
bao3 cun2,to conserve; to preserve; to keep; to save (a file etc) (computing)
bao3 guan3,to assure; to guarantee; to take care of; to safeguard; certainly; surely
bao3 gui4,valuable; precious; value; treasure; set store by
bao3 he2,saturation
bao3 hu4,to protect; to defend; to safeguard; protection; CL:種|种[zhong3]
bao3 jing1 cang1 sang1,having lived through many changes
bao3 liu2,to retain; to continue to have; to preserve; to maintain; to reserve; reservations; to hold back (approval or acceptance)
bao3 mi4,to keep sth confidential; to maintain secrecy
bao3 mu3,nanny; housekeeper
bao3 shou3,(politically) conservative; to guard; to keep
bao3 wei4,to defend; to safeguard
bao3 xian3,insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4]
bao3 yang3,to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance
bao3 zhang4,to ensure; to guarantee; to safeguard
bao3 zheng4,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[ge4]
bao3 zhong4,take care of oneself
bao3,to eat till full; satisfied
bao4 chou2,to revenge (oneself); to avenge
bao4 chou5,reward; remuneration
bao4 da2,to repay; to requite
bao4 dao4,"report; CL:篇[pian1],份[fen4]"
bao4 dao4,report for duty; check in; register
bao4 fa1,to break out; to erupt; to explode; to burst out
bao4 fu4,aspiration; ambition
bao4 fu4,to make reprisals; to retaliate; revenge; retaliation
bao4 gao4,"to inform; report; make known; speech; talk; lecture; CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]"
bao4 guang1,exposure (e.g. of photosensitive material); to expose (a scandal to the public)
bao4 li4,violence; (use) force; violent
bao4 lu4,to expose; to reveal; to lay bare
bao4 ming2,to sign up; to enter one's name; to apply; to register; to enroll; to enlist
bao4 qian4,sorry; We apologize!; to feel apologetic; to regret
bao4 she4,general office of a newspaper; newspaper office; CL:家[jia1]
bao4 xiao1,submit an expense account; apply for reimbursement; write-off; wipe out
bao4 yuan4,to complain; to grumble
bao4 zha4,explosion; to explode; to blow up; to detonate
bao4 zhi3,"newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]"
bao4,to hold; to carry (in one's arms); to hug or embrace; surround; cherish
bei1 ai1,grieved; sorrowful
bei1 bi3,base; mean; contemptible; despicable
bei1 can3,miserable; tragic
bei1 guan1,pessimistic
bei1 zi5,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]"
bei3 fang1,north; the northern part a country; China north of the Yellow River
bei3 ji2,the North Pole; the Arctic Pole; the north magnetic pole
bei4 dong4,passive
bei4 fen4,backup
bei4 gao4,defendant
bei4 jing3,background; backdrop; context; CL:種|种[zhong3]
bei4 ke2,"shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bei4 qiao4, mostly written"
bei4 pan4,to betray
bei4 song4,recite; repeat from memory
bei4 wang4 lu4,memorandum; aide-memoire; memorandum book
bei4 zi5,quilt; CL:床[chuang2]
bei4,"(two, three etc) -fold; times (multiplier); double; to increase or multiply"
bei4,by (indicates passive-voice sentences or clauses); quilt; to cover (literary)
bei4,the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory
ben1 bo1,rush about; be busy running about
ben1 chi2,"to run quickly; to travel quickly; to move fast; Mercedes-Benz, German car make"
ben3 ke1,undergraduate course; undergraduate (adjective)
ben3 lai2,original; originally; at first; it goes without saying; of course
ben3 ling3,"skill; ability; capability; CL:項|项[xiang4],個|个[ge4]"
ben3 neng2,instinct
ben3 qian2,capital
ben3 ren2,the person himself; I (humble form used in speeches); oneself; myself; in person; personal
ben3 shen1,itself; in itself; per se
ben3 shi5,ability; skill; source material; original story
ben3 zhe5,based on...; in conformance with..; taking as one's main principle
ben3 zhi4,essence; nature; innate character; intrinsic quality
ben3,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally"
ben4 zhuo1,clumsy; awkward; stupid
ben4,stupid; foolish; silly; slow-witted; clumsy
beng1 kui4,to collapse; to crumble; to fall apart
beng2,need not; (contraction of 不 and 用)
beng4 fa1,to burst out; to gush; to spurt
beng4,to jump; to bounce; to hop
bi1 po4,to force; to compel; to coerce
bi2 ti4,nasal mucus; snivel
bi2 zi5,"nose; CL:個|个[ge4],隻|只[zhi1]"
bi3 ci3,each other; one another
bi3 fang5,analogy; instance
bi3 ji4 ben3,notebook; CL:本[ben3]
bi3 jiao4,compare; contrast; fairly; comparatively; relatively; quite; rather
bi3 li4,proportion; scale
bi3 ru2,for example; for instance; such as
bi3 sai4,"competition (sports etc); match; CL:場|场[chang3],次[ci4]"
bi3 yu4,metaphor; analogy; figure of speech; figuratively
bi3 zhong4,proportion; specific gravity
bi3,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio"
bi4 bing4,malady; evil; malpractice; drawback; disadvantage
bi4 ding4,be bound to; be sure to
bi4 duan1,malpractice; abuse; corrupt practice
bi4 jing4,after all; all in all; when all is said and done; in the final analysis
bi4 mian3,to avert; to prevent; to avoid; to refrain from
bi4 ran2,inevitable; certain; necessity
bi4 se4,stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking
bi4 xu1,to have to; must; compulsory; necessarily
bi4 xu1,to need; to require; essential; indispensable
bi4 yao4,necessary; essential; indispensable; required
bi4 ye4,graduation; to graduate; to finish school
bi4 yu4,jasper
bi4,arm
bian1 ce4,to spur on; to urge on; to encourage sb (e.g. to make progress)
bian1 ji2,to edit; to compile; editor; compiler
bian1 jiang1,border area; borderland; frontier; frontier region
bian1 jie4,boundary; border
bian1 jing4,frontier; border
bian1 pao4,firecrackers; a string of small firecrackers; CL:枚[mei2]
bian1 yuan2,edge; fringe; verge; brink; periphery; marginal; borderline
bian1 zhi1,to weave; to knit; to plait; to braid
bian3 di1,to belittle; to disparage; to play down; to demean; to degrade; to devalue
bian3 yi4,derogatory sense; negative connotation
bian3,"flat; (old form of character 匾, horizontal tablet with inscription)"
bian4 bu4,to cover the whole (area); to be found throughout
bian4 gu4,an unforeseen event; accident; misfortune
bian4 hu4,to speak in defense of; to argue in favor of; to defend; to plead
bian4 hua4,change; variation; to change; to vary; CL:個|个[ge4]
bian4 jie3,to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself
bian4 li4,convenient; easy; facilitate
bian4 lun4,"debate; argument; to argue over; CL:場|场[chang3],次[ci4]"
bian4 qian1,changes; vicissitudes
bian4 ren4,to recognize; to identify
bian4 tiao2,"(informal) note; CL:張|张[zhang1],個|个[ge4]"
bian4 yu2,easy to; convenient for
bian4 zheng4,investigate; dialectical
bian4 zhi4,to degenerate; to go bad; to deteriorate; metamorphosis
bian4 zi5,"plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gen1],條|条[tiao2]"
bian4,a time; everywhere; turn; all over; one time
bian4,ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards
biao1 ben3,specimen; sample; the root cause and symptoms of a disease
biao1 dian3,punctuation; a punctuation mark; to punctuate; CL:個|个[ge4]
biao1 ji4,sign; mark; symbol; to mark up
biao1 sheng1,to rise rapidly; to soar
biao1 ti2,title; heading; headline; caption; subject
biao1 zhi4,sign; mark; symbol; symbolize; to indicate; to mark
biao1 zhun3,(an official) standard; norm; criterion; CL:個|个[ge4]
biao3 da2,to voice (an opinion); to express; to convey
biao3 ge2,"form; table; CL:張|张[zhang1],份[fen4]"
biao3 jue2,decide by vote; vote
biao3 mian4,surface; face; outside; appearance
biao3 ming2,to make clear; to make known; to state clearly; to indicate; known
biao3 qing2,(facial) expression; to express one's feelings; expression
biao3 shi4,to express; to show; to say; to state; to indicate; to mean
biao3 tai4,to declare one's position; to say where one stands
biao3 xian4,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc)
biao3 yan3,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3]
biao3 yang2,to praise; to commend
biao3 zhang1,cite (in dispatches); commend
bie1,to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath)
bie2 ren5,other people; others; other person
bie2 shu4,"villa; CL:幢[zhuang4],座[zuo4]"
bie2 zhi4,unusual; unique
bie2,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin
bie4 niu5,awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche; awkward (writing or speech)
bin1 guan3,"guesthouse; CL:個|个[ge4],家[jia1]"
bin1 lin2,on the verge of; close to
bing1 bao2,"hail; hailstone; CL:場|场[chang2],粒[li4]"
bing1 xiang1,"icebox; freezer cabinet; refrigerator; CL:臺|台[tai2],個|个[ge4]"
bing3 gan1,"biscuit; cracker; cookie; CL:片[pian4],塊|块[kuai4]"
bing3,"third of 10 heavenly stems 十天干; third in order; letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; propyl"
bing4 cun2,to exist at the same time; to coexist
bing4 du2,virus
bing4 fei1,really isn't
bing4 lie4,to stand side by side; to be juxtaposed
bing4 qie3,and; besides; moreover; furthermore; in addition
bo1 da3,to call; to dial
bo1 fang4,to broadcast; to transmit
bo1 lang4,wave
bo1 li5,"glass; nylon; plastic; CL:張|张[zhang1],塊|块[kuai4]"
bo1 tao1 xiong1 yong3,tumultuous situations
bo1 xue1,to exploit; exploitation
bo1 zhong4,to sow seeds; sowing; seed
bo2 da4 jing1 shen1,wide-ranging and profound; broad and deep
bo2 dou4,to wrestle; to fight; to struggle
bo2 lan3 hui4,exposition; international fair
bo2 mu3,wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother); CL:個|个[ge4]
bo2 ruo4,weak; frail
bo2 shi4,doctor; court academician (in feudal China); Ph.D.
bo2 wu4 guan3,museum
bo2 zi5,neck; CL:個|个[ge4]
bu3 chang2,compensate; make up
bu3 chong1,to replenish; to supplement; to complement; additional; supplementary; CL:個|个[ge4]
bu3 jiu4,remedy
bu3 ru3,breast feeding; to suckle; to nurse
bu3 tie1,to subsidize; subsidy; allowance
bu3 zhuo1,to catch; to seize; to capture
bu4 an1,unpeaceful; unstable; uneasy; disturbed; restless; worried
bu4 bi4,need not; does not have to
bu4 dan4,not only (... but also...)
bu4 de2 bu4,have no choice or option but to; cannot but; have to; can't help it; can't avoid
bu4 de2 liao3,desperately serious; disastrous; extremely; exceedingly
bu4 de2 yi3,act against one's will; have no alternative but to; have to; to have no choice; must
bu4 duan4,unceasing; uninterrupted; continuous; constant
bu4 fa2,pace; (measured) step; march
bu4 fang2,there is no harm in; might as well
bu4 fen5,part; share; section; piece; CL:個|个[ge4]
bu4 gan3 dang1,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me
bu4 gao4,posting on a bulletin board; notice; bulletin; to announce
bu4 gu4,in spite of; regardless of
bu4 guan3,"no matter (what, how); regardless of; no matter"
bu4 guo4,only; merely; no more than; but; however; anyway (to get back to a previous topic)
bu4 hao3 yi4 si5,to feel embarrassed; to be ill at ease; to find it embarrassing (to do sth)
bu4 jian4 de5,not necessarily; not likely
bu4 jin1,can't help (doing sth); can't refrain from
bu4 jin3,not only (this one); not just (...) but also
bu4 ju2,arrangement; composition; layout; opening (chess jargon)
bu4 kan1,cannot bear; cannot stand; utterly; extremely
bu4 ke3 si1 yi4,inconceivable (idiom); unimaginable; unfathomable
bu4 ke4 qi5,you're welcome; impolite; rude; blunt; don't mention it
bu4 kui4,be worthy of; deserve to be called; prove oneself to be
bu4 liao4,unexpectedly; to one's surprise
bu4 men2,department; branch; section; division; CL:個|个[ge4]
bu4 mian3,unavoidable
bu4 nai4 fan2,impatience; impatient
bu4 ran2,not so; no; or else; otherwise; if not
bu4 ru2,not equal to; not as good as; inferior to; it would be better to
bu4 shi2,frequently; often; at any time
bu4 shu3,to dispose; to deploy; deployment
bu4 wei4,position; place
bu4 xi1,not stint; not spare; not hesitate (to do sth); not scruple (to do sth)
bu4 xiang1 shang4 xia4,equally matched; about the same
bu4 xiang4 hua4,unreasonable; shocking; outrageous
bu4 xie4 yi1 gu4,to disdain as beneath contempt
bu4 yan2 er2 yu4,it goes without saying; it is self-evident
bu4 yao4 jin3,unimportant; not serious; it doesn't matter; never mind; it looks all right; but
bu4 you2 de5,can't help; cannot but
bu4 ze2 shou3 duan4,by fair means or foul; by hook or by crook; unscrupulously
bu4 zhi3,incessantly; without end; more than; not limited to
bu4 zhi4,to put in order; to arrange; to decorate; to fix up; to deploy
bu4 zhou4,step; move; measure
bu4 zu2,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not
bu4,(negative prefix); not; no
bu4,cloth; to declare; to announce; to spread; to make known
ca1,to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish
cai1,to guess
cai2 chan3,property; CL:筆|笔[bi3]
cai2 feng5,tailor; dressmaker
cai2 fu4,wealth; riches
cai2 gan4,ability; competence
cai2 liao4,"material; data; makings; stuff; CL:個|个[ge4],種|种[zhong3]"
cai2 pan4,"judgment; to referee; umpire; judge; referee; CL:個|个[ge4],位[wei4],名[ming2]"
cai2 wu4,financial affairs
cai2 yuan2,to cut staff; to lay off employees
cai2 zheng4,finances (public); financial
cai2,ability; talent; endowment; gift; an expert; only (then); only if; just
cai3 fang3,to interview; to gather news; to hunt for and collect; to cover
cai3 gou4,to procure (for an enterprise etc); to purchase
cai3 hong2,rainbow
cai3 ji2,to gather; to collect; to harvest
cai3 na4,to accept; to adopt
cai3 piao4,the lottery; lottery ticket
cai3 qu3,"to adopt or carry out (measures, policies, course of action); to take"
cai3,to step on; to tread; to stamp; to press a pedal; to pedal (a bike)
cai4 dan1,"menu; CL:份[fen4],張|张[zhang1]"
cai4,"dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pan2],道[dao4]"
can1 guan1,to look around; to inspect; visit and observe
can1 jia1,to participate; to take part; to join
can1 kao3,consultation; reference; to consult; to refer
can1 mou2,staff officer; give advice
can1 ting1,"dining-hall; dining-room; restaurant; CL:間|间[jian1],家[jia1]"
can1 yu4,to participate (in sth)
can1 zhao4,to consult a reference; to refer to (another document)
can2 ji2,disabled; handicapped; deformity on a person or animal
can2 ku4,cruel; cruelty
can2 kui4,ashamed
can2 liu2,to remain; left over; surplus; remnant
can2 ren3,cruel; mean; merciless; ruthless
can4 lan4,to glitter; brilliant; splendid
cang1 bai2,pale; wan
cang1 cu4,all of a sudden; hurriedly
cang1 ku4,depot; storehouse; warehouse
cang1,cabin; the hold of a ship or airplane
cao1 chang3,playground; sports field; drill ground; CL:個|个[ge4]
cao1 lao2,to work hard; to look after
cao1 lian4,drill; practice
cao1 xin1,to worry about
cao1 zong4,to operate; to control; to rig; to manipulate
cao1 zuo4,to work; to operate; to manipulate
cao2 za2,noisy; clamorous
cao3 an4,"draft (legislation, proposal etc)"
cao3 shuai4,careless; negligent; sloppy; not serious
cao3,"grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]"
ce4 hua4,to plot; to scheme; to bring about; to engineer; planning; producer; planner
ce4 liang2,survey; to measure; to gauge; to determine
ce4 lve4,tactics; to be tactful
ce4 mian4,lateral side; side; aspect; profile
ce4 suo3,"toilet; lavatory; CL:間|间[jian1],處|处[chu4]"
ce4 yan4,"test; to test; CL:次[ci4],個|个[ge4]"
ce4,book; booklet; classifier for books
ceng2 chu1 bu4 qiong2,more and more emerge; innumerable succession; breeding like flies (idiom)
ceng2 ci4,arrangement of ideas; administrative level; level; stage; phase
ceng2 jing1,once; already; former; previously; ever; (past tense marker used before verb or clause)
ceng2,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.)
cha1 bie2,difference; distinction; diversity; disparity
cha1 ju4,disparity; gap
cha1 zi5,fork; CL:把[ba3]
cha1,to insert; stick in; pierce; to take part in; to interfere; to interpose
cha2 huo4,to investigate and capture (a criminal); to ferret out; to hunt down and arrest
cha2,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]"
cha4 bu5 duo1,almost; nearly; more or less
cha4 na4,an instant (Sanskrit: ksana); split second; the twinkling of an eye
cha4 yi4,flabbergasted; astonished
cha4,"fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)"
cha4,differ from; short of; to lack; poor
chai1,to tear open; to tear down; to tear apart; to open
chai2 you2,diesel fuel
chan1,to assist by the arm; to mix; to support; to sustain
chan2 rao4,twisting; to twine; to wind; to pester; to bother
chan2,slander; defame; misrepresent; to speak maliciously
chan3 pin3,goods; merchandise; product; CL:個|个[ge4]
chan3 sheng1,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield
chan3 shu4,to expound (a position); to elaborate (on a topic); to treat (a subject)
chan3 ye4,industry; estate; property; industrial
chan4 dou3,to shudder; to shiver; to shake; to tremble
chang1 kuang2,savage; furious
chang1 sheng4,prosperous
chang2 huan2,to repay; to reimburse
chang2 nian2,a whole year; average year
chang2 shi2,common sense; general knowledge; CL:門|门[men2]
chang2 shi4,to try; to attempt; CL:次[ci4]
chang2 tu2,long distance
chang2 wu4,routine; everyday business; daily operation (of a company)
chang2,length; long; forever; always; constantly
chang2,to taste; flavor; (past tense marker); already; formerly; ever; once; test
chang3 he2,situation; occasion
chang3 kai1,wide open; to open up
chang3 mian4,scene; occasion
chang3 suo3,location; place
chang3,"threshing floor; classifier for events and happenings: spell, episode, bout"
chang4 dao3,to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)
chang4 ge1,to sing a song
chang4 tong1,unimpeded; free-flowing; straight path; unclogged; move without obstruction
chang4 xiao1,best seller; chart-topping
chang4 yi4,to suggest; to initiate; proposal; initiative
chao1 guo4,to surpass; to exceed; to outstrip
chao1 ji2,transcending; high grade; super-; ultra-
chao1 piao4,"paper money; a bill (e.g. 100 yuan); CL:張|张[zhang1],扎[za1]"
chao1 shi4,supermarket (abbr.); CL:家[jia1]
chao1 yue4,to surpass; to exceed; to transcend
chao1,to copy; to plagiarize; to search and seize; to go; to transcribe; to take a shortcut; to search and confiscate
chao2 dai4,dynasty; reign (of a king)
chao2 liu2,tide; current; trend
chao2 shi1,damp; moist
chao2 xiao4,jeer; mockery; scoff; sneer; make fun of; laugh at (derogatory)
chao2,imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards
chao3 jia4,to quarrel; to have a row; CL:頓|顿[dun4]
chao3,saute; pan-fry; to fry; fried
chao3,to quarrel; to make a noise; noisy; to disturb by making a noise
che1 ku4,garage
che1 xiang1,carriage; CL:節|节[jie2]
che4 di3,thorough; thoroughly; complete
che4 tui4,retreat
che4 xiao1,to repeal; to revoke; to undo (computing)
chen2 dian4,to settle; to precipitate (solid sediment out of a solution)
chen2 jiu4,old-fashioned
chen2 lie4,to display; to exhibit
chen2 men4,oppressive (of weather); heavy; depressed; not happy
chen2 mo4,silence; uncommunicative
chen2 shu4,an assertion; to declare; to state
chen2 si1,contemplate; contemplation; meditation; ponder
chen2 zhong4,heavy; hard; serious; critical
chen2 zhuo2,steady; calm and collected; not nervous
chen4 shan1,shirt; blouse; CL:件[jian4]
chen4 xin1 ru2 yi4,after one's heart (idiom); gratifying and satisfactory; everything one could wish
chen4,to avail oneself of; to take advantage of
cheng1 hao4,name; term of address; title
cheng1 hu5,to call; to address as; appellation
cheng1 zan4,to praise; to acclaim; to commend; to compliment
cheng1,to weigh; to state; to name; name; appellation; to praise
cheng2 ban4,to undertake; to accept a contract
cheng2 bao1,to contract; to undertake (a job)
cheng2 bao3,castle; rook (chess piece)
cheng2 ben3,"(manufacturing, production etc) costs"
cheng2 dan1,to undertake; to assume (responsibility etc)
cheng2 du4,degree (level or extent); level; CL:個|个[ge4]
cheng2 fa2,penalty; punishment; to punish
cheng2 fen4,composition; make-up; ingredient; element; component; one's social status; CL:個|个[ge4]
cheng2 gong1,"success; to succeed; CL:次[ci4],個|个[ge4]"
cheng2 guo3,result; achievement; gain; profit; CL:個|个[ge4]
cheng2 ji4,"achievement; performance records; grades; CL:項|项[xiang4],個|个[ge4]"
cheng2 jiao1,to complete a contract; to reach a deal
cheng2 jiu4,accomplishment; success; attain a result; achievement; CL:個|个[ge4]
cheng2 ken3,sincere; honest; cordial
cheng2 li4,to establish; to set up; to be tenable; to hold water
cheng2 nuo4,to promise; to undertake to do something; commitment
cheng2 qing1,clear (of liquid); limpid; to clarify; to make sth clear; to be clear (about the facts)
cheng2 ren4,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge"
cheng2 shi2,honest; honesty; honorable; truthful
cheng2 shi4,city; town; CL:座[zuo4]
cheng2 shou4,to bear; to support; to inherit
cheng2 shu2,mature; ripe; Taiwan pr. cheng2 shou2
cheng2 tian1,(coll.) all day long; all the time
cheng2 wei2,to become; to turn into
cheng2 wu4 yuan2,"attendant on an airplane, train, boat etc"
cheng2 xian4,to appear; to emerge; present (a certain appearance); demonstrate
cheng2 xiao4,effect; result
cheng2 xin1,intentional; deliberate; on purpose
cheng2 xu4,procedures; sequence; order; computer program
