刮,刮,guā
挂,掛,guà
关,關,guān
关系,關係,guānxi
关心,關心,guānxīn
馆,館,guǎn
广播,廣播,guǎngbō
贵,貴,guì
贵姓,貴姓,guìxìng
国,國,guó
国家,國家,guójiā
过,過,guò
过来,過來,guòlái
过去,過去,guòqù
哈哈,哈哈,hāhā
还,還,hái
还是,還是,háishì
孩子,孩子,háizi
海,海,hǎi
寒假,寒假,hánjià
喊,喊,hǎn
汉语,漢語,Hànyǔ
汉字,漢字,hànzì
好,好,hǎo
好吃,好吃,hǎochī
好处,好處,hǎochù
好看,好看,hǎokàn
好像,好像,hǎoxiàng
号,號,hào
喝,喝,hē
合适,合適,héshì
和,和,hé
河,河,hé
黑,黑,hè
黑板,黑板,hēibǎn
很,很,hěn
红,紅,gōng
后,後,hòu
后边,後邊,hòubiān
忽然,忽然,hūrán
湖,湖,hú
互相,互相,hùxiāng
花,花,huā
画,畫,huà
画儿,畫兒,huàr
化学,化學,huàxué
话,話,huà
坏,壞,huài
欢迎,歡迎,huānyíng
还,還,huán
换,換,huàn
黄,黃,huáng
回,回,huí
回答,回答,huídá
回来,回來,huílái
回去,回去,huíqù
会,會,huì
会话,會話,huìhuà
活,活,huó
活动,活動,huódòng
活儿,活兒,huór
火车,火車,huǒchē
或者,或者,huòzhě
基本,基本,jīběn
基础,基礎,jīchǔ
机场,機場,jīchǎng
机会,機會,jīhuì
机器,機器,jīqì
鸡,雞,jī
鸡蛋,雞蛋,jīdàn
...极了,...極了,jíle
急,急,jí
集合,集合,jíhé
几,幾,jǐ
挤,擠,jǐ
计划,計劃,jìhuà
记,記,jì
技术,技術,jìshù
继续,繼續,jìxù
寄,寄,jì
加,加,jiā
家,家,jiā
家庭,家庭,jiātíng
坚持,堅持,jiānchí
间,間,jiān
检查,檢查,jiǎnchá
简单,簡單,jiǎndān
见,見,jiàn
见面,見面,jiànmiàn
件,件,jiàn
建设,建設,jiànshè
健康,健康,jiànkāng
江,江,jiāng
将来,將來,jiānglái
讲,講,jiǎng
交,交,jiāo
教,教,jiāo
角,角,jiǎo
饺子,餃子,jiǎozi
脚,腳,jiǎo
叫,叫,jiào
教室,教室,jiàoshì
教育,教育,jiàoyù
接,接,jiē
接着,接著,jiēzhe
街,街,jiē
节,節,jié
节目,節目,jiémù
节日,節日,jiérì
结果,結果,jiéguǒ
结束,結束,jiéshù
姐姐,姐姐,jiějie
解决,解決,jiějué
借,借,jiè
介绍,介紹,jièshào
斤,斤,jīn
今年,今年,jīnnián
今天,今天,jīntiān
紧,緊,jǐn
紧张,緊張,jǐnzhāng
近,近,jìn
进,進,jìn
进来,進來,jìnlái
进去,進去,jìnqù
进行,進行,jìnxíng
经常,經常,jīngcháng
经过,經過,jīngguò
经济,經濟,jīngjì
经验,經驗,jīngyàn
精彩,精彩,jīngcǎi
精神,精神,jīngshén
九,九,jiǔ
久,久,jiǔ
酒,酒,jiǔ
旧,舊,jiù
就,就,jiù
橘子,橘子,júzi
举,舉,jǔ
句,句,jù
句子,句子,jùzi
决定,決定,juédìng
觉得,覺得,juéde
