哀悼,哀悼,āidào
哀求,哀求,āiqiú
艾滋病,艾滋病,àizībìng
爱戴,愛戴,àidài
爱面子,愛面子,àimiànzi
爱惜,愛惜,àixī
碍事,礙事,àishì
安宁,安寧,ānníng
安稳,安穩,ānwěn
安详,安詳,ānxiáng
安置,安置,ānzhì
按劳分配,按勞分配,ànláofēnpèi
案,案,àn
案件,案件,ànjiàn
案情,案情,ànqíng
暗淡,暗淡,àndàn
暗杀,暗殺,ànshā
暗示,暗示,ànshì
暗中,暗中,ànzhōng
昂贵,昂貴,ángguì
昂扬,昂揚,ángyáng
凹,凹,āo
袄,襖,ǎo
巴结,巴結,bājie
扒,扒,bā
芭蕾舞,芭蕾舞,bālěiwǔ
疤,疤,bā
捌,捌,bā
把柄,把柄,bǎbǐng
把关,把關,bǎguān
把手,把手,bǎshǒu
把戏,把戲,bǎxì
霸道,霸道,bàdào
霸权,霸權,bàquán
霸占,霸佔,bàzhàn
掰,掰,bāi
白酒,白酒,báijiǔ
百倍,百倍,bǎibèi
百分比,百分比,bǎifēnbǐ
百花齐放,百花齊放,bǎihuāqífàng
百家争鸣,百家爭鳴,bǎijiāzhēngmíng
摆动,擺動,bǎidòng
败坏,敗壞,bàihuài
拜,拜,bài
拜年,拜年,bàinián
扳,扳,bān
班机,班機,bānjī
班子,班子,bānzi
颁布,頒布,bānbù
颁发,頒發,bānfā
斑,斑,bān
搬运,搬運,bānyùn
版,版,bǎn
办学,辦學,bànxué
半边天,半邊天,bànbiāntiān
半截,半截,bànjié
半径,半徑,bànjìng
半路,半路,bànlù
半数,半數,bànshù
半途而废,半途而廢,bàntú'érfèi
半真半假,半真半假,bànzhēnbànjiǎ
伴,伴,bàn
伴侣,伴侶,bànlǚ
伴随,伴隨,bànsuí
伴奏,伴奏,bànzòu
扮,扮,bàn
扮演,扮演,bànyǎn
拌,拌,bàn
绑架,綁架,bǎngjià
棒球,棒球,bàngqiú
包办,包辦,bāobàn
包干儿,包干兒,bāogānr
包裹,包裹,bāoguǒ
包装,包裝,bāozhuāng
